id,symbol,timeframe,rank,fast_window,slow_window,performance,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,date_from,date_to,timestamp
1,SPY,1d,1,10,40,0.16246143293875662,0.16246143293875662,1.8890615965957398,0.051353307445081695,3.0,1.0,2021-01-01,2022-01-01,2025-04-20T15:55:25.123318
2,SPY,1d,2,15,30,0.15584846053149085,,,,,,2021-01-01,2022-01-01,2025-04-20T15:55:25.123318
3,SPY,1d,3,5,45,0.15200274765537353,,,,,,2021-01-01,2022-01-01,2025-04-20T15:55:25.123318
4,SPY,1d,4,5,40,0.12101613940185954,,,,,,2021-01-01,2022-01-01,2025-04-20T15:55:25.123318
5,SPY,1d,5,10,25,0.12062812050631401,,,,,,2021-01-01,2022-01-01,2025-04-20T15:55:25.123318
6,SPY,1d,6,20,25,0.11907267944596402,,,,,,2021-01-01,2022-01-01,2025-04-20T15:55:25.123318
7,SPY,1d,7,10,20,0.11747148688056928,,,,,,2021-01-01,2022-01-01,2025-04-20T15:55:25.123318
8,SPY,1d,8,20,35,0.11100310200144305,,,,,,2021-01-01,2022-01-01,2025-04-20T15:55:25.123318
9,SPY,1d,9,10,35,0.11055890597198202,,,,,,2021-01-01,2022-01-01,2025-04-20T15:55:25.123318
10,SPY,1d,10,15,25,0.10687107187410481,,,,,,2021-01-01,2022-01-01,2025-04-20T15:55:25.123318
